HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,433778
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,356637
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,201769
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,371681
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,119469
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,332743
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,250176
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,265486
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,157522
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,256637
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,247787
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,202654
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,226548
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,158407
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,172566
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,238938
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,271681
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,380530
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,132300
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,300884
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,140707
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,357522
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1256,469026
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,232743
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,273451
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,143805
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,330088
